City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2021-07-27 22:06:12,-9.8,-139.0333,77.5,71,16,18.43
1,Rikitea,PF,2021-07-27 22:09:19,-23.1203,-134.9692,74.62,77,100,15.01
2,East London,ZA,2021-07-27 22:06:19,-33.0153,27.9116,73.11,26,0,10.04
3,Mataura,NZ,2021-07-27 22:09:19,-46.1927,168.8643,49.48,88,40,0.76
4,Bluff,NZ,2021-07-27 22:09:20,-46.6,168.3333,49.8,70,17,15.57
5,Barrow,US,2021-07-27 22:05:57,71.2906,-156.7887,42.82,84,90,17.27
6,Ushuaia,AR,2021-07-27 22:09:20,-54.8,-68.3,37.06,93,90,4.61
7,Hilo,US,2021-07-27 22:09:21,19.7297,-155.09,80.33,74,90,9.22
8,Tezu,IN,2021-07-27 22:09:21,27.9167,96.1667,78.57,79,99,2.98
9,Iqaluit,CA,2021-07-27 22:07:27,63.7506,-68.5145,54.7,50,68,8.99
10,Hermanus,ZA,2021-07-27 22:06:04,-34.4187,19.2345,55.8,76,94,18.25
11,Bengkulu,ID,2021-07-27 22:09:22,-3.8004,102.2655,72.9,74,47,5.01
12,Myitkyina,MM,2021-07-27 22:09:22,25.3833,97.4,74.66,100,97,0.63
13,Mahon,ES,2021-07-27 22:09:22,39.8885,4.2658,75.76,73,0,4.61
14,Carballo,ES,2021-07-27 22:09:23,43.213,-8.691,65.01,91,32,4.68
15,Busselton,AU,2021-07-27 22:09:23,-33.65,115.3333,46.04,68,100,13.51
16,Ponta Do Sol,PT,2021-07-27 22:09:24,32.6667,-17.1,73.13,68,8,6.2
17,Bredasdorp,ZA,2021-07-27 22:06:21,-34.5322,20.0403,55.27,72,100,14.83
18,Tuatapere,NZ,2021-07-27 22:09:24,-46.1333,167.6833,49.82,87,8,2.82
19,Srednekolymsk,RU,2021-07-27 22:09:05,67.45,153.6833,38.55,94,100,10.63
20,Codrington,AU,2021-07-27 22:06:16,-38.2667,141.9667,48.58,79,39,20.36
21,Vila Franca Do Campo,PT,2021-07-27 22:07:24,37.7167,-25.4333,68.41,86,13,9.04
22,Dongsheng,CN,2021-07-27 22:09:25,39.8161,109.9776,69.28,51,100,6.08
23,Den Helder,NL,2021-07-27 22:09:26,52.9599,4.7593,62.98,92,90,7.0
24,Dikson,RU,2021-07-27 22:07:22,73.5069,80.5464,40.24,100,100,16.35
25,Lompoc,US,2021-07-27 22:09:26,34.6391,-120.4579,86.22,70,75,13.8
26,Puerto Ayora,EC,2021-07-27 22:09:27,-0.7393,-90.3518,73.76,71,12,11.79
27,Bethel,US,2021-07-27 22:09:27,41.3712,-73.414,87.89,59,1,11.5
28,Bambous Virieux,MU,2021-07-27 22:06:28,-20.3428,57.7575,68.22,85,98,15.86
29,Cape Town,ZA,2021-07-27 22:06:47,-33.9258,18.4232,55.09,81,83,3.0
30,Rio Gallegos,AR,2021-07-27 22:09:20,-51.6226,-69.2181,42.85,87,90,9.22
31,Ixtapa,MX,2021-07-27 22:08:30,20.7,-105.2,89.22,62,20,11.5
32,Kavieng,PG,2021-07-27 22:09:28,-2.5744,150.7967,84.22,72,15,11.1
33,Iwanai,JP,2021-07-27 22:09:29,42.9744,140.5089,75.58,75,38,5.7
34,Polunochnoye,RU,2021-07-27 22:09:29,60.8697,60.4153,44.42,82,100,5.68
35,Ilulissat,GL,2021-07-27 22:09:29,69.2167,-51.1,55.42,62,100,2.3
36,New Norfolk,AU,2021-07-27 22:05:58,-42.7826,147.0587,54.9,81,93,1.99
37,Avarua,CK,2021-07-27 22:09:30,-21.2078,-159.775,77.05,65,20,5.75
38,Butaritari,KI,2021-07-27 22:06:38,3.0707,172.7902,81.72,70,98,3.49
39,Cherskiy,RU,2021-07-27 22:09:31,68.75,161.3,37.67,80,100,18.16
40,Qaanaaq,GL,2021-07-27 22:06:35,77.484,-69.3632,41.22,99,100,4.27
41,Kaitangata,NZ,2021-07-27 22:09:31,-46.2817,169.8464,48.92,70,78,3.94
42,Lavrentiya,RU,2021-07-27 22:06:49,65.5833,-171.0,44.28,99,100,9.89
43,Albany,US,2021-07-27 22:05:23,42.6001,-73.9662,70.52,63,51,3.0
44,Pevek,RU,2021-07-27 22:09:32,69.7008,170.3133,34.07,94,100,10.4
45,Mitsamiouli,KM,2021-07-27 22:09:32,-11.3847,43.2844,75.78,71,13,5.82
46,Nanortalik,GL,2021-07-27 22:05:07,60.1432,-45.2371,46.65,76,55,4.52
47,Hithadhoo,MV,2021-07-27 22:09:33,-0.6,73.0833,80.91,78,96,7.72
48,Punta Arenas,CL,2021-07-27 22:09:34,-53.15,-70.9167,42.91,87,75,10.36
49,Vaini,TO,2021-07-27 22:09:34,-21.2,-175.2,69.96,88,75,5.75
50,Faya,SA,2021-07-27 22:09:34,18.3851,42.4509,63.12,77,26,4.99
51,Vostok,RU,2021-07-27 22:09:35,46.4856,135.8833,78.06,70,90,1.63
52,Arraial Do Cabo,BR,2021-07-27 22:06:42,-22.9661,-42.0278,72.68,77,0,17.18
53,Leningradskiy,RU,2021-07-27 22:09:35,69.3833,178.4167,34.36,97,100,7.67
54,Koroni,GR,2021-07-27 22:09:35,36.8,21.95,82.08,68,0,4.21
55,Yellowknife,CA,2021-07-27 22:09:36,62.456,-114.3525,59.32,50,84,3.0
56,Ribeira Grande,PT,2021-07-27 22:06:04,38.5167,-28.7,72.28,84,75,10.89
57,Cabinda,AO,2021-07-27 22:09:36,-5.55,12.2,72.09,92,38,4.81
58,Sumisip,PH,2021-07-27 22:09:37,6.4197,121.9714,81.05,89,99,8.3
59,Cidreira,BR,2021-07-27 22:09:37,-30.1811,-50.2056,50.72,49,49,19.01
60,Bafia,CM,2021-07-27 22:09:37,4.75,11.2333,67.08,97,78,2.3
61,Jamestown,US,2021-07-27 22:08:03,42.097,-79.2353,78.08,63,90,1.99
62,Abu Dhabi,AE,2021-07-27 22:09:20,24.4667,54.3667,95.11,62,0,4.61
63,Mount Gambier,AU,2021-07-27 22:09:38,-37.8333,140.7667,46.98,82,25,17.11
64,Kodiak,US,2021-07-27 22:06:07,57.79,-152.4072,60.31,63,75,3.44
65,Hofn,IS,2021-07-27 22:09:38,64.2539,-15.2082,54.14,83,93,4.47
66,Carnarvon,AU,2021-07-27 22:09:39,-24.8667,113.6333,66.85,53,100,8.28
67,Paamiut,GL,2021-07-27 22:06:45,61.994,-49.6678,45.23,76,9,15.3
68,Alofi,NU,2021-07-27 22:09:39,-19.0595,-169.9187,80.49,74,75,5.75
69,Smiltene,LV,2021-07-27 22:09:40,57.4244,25.9016,64.8,98,100,6.91
70,Vila Velha,BR,2021-07-27 22:09:40,-20.3297,-40.2925,77.97,77,0,10.36
71,Saint-Philippe,RE,2021-07-27 22:09:40,-21.3585,55.7679,67.59,85,50,14.2
72,Alta Floresta,BR,2021-07-27 22:08:29,-9.8756,-56.0861,82.56,31,39,2.51
73,Severo-Kurilsk,RU,2021-07-27 22:09:41,50.6789,156.125,57.52,96,100,4.88
74,Sal Rei,CV,2021-07-27 22:09:41,16.1833,-22.9167,77.56,80,93,11.92
75,Vanimo,PG,2021-07-27 22:09:41,-2.6741,141.3028,78.66,90,91,4.81
76,Hobart,AU,2021-07-27 22:06:36,-42.8794,147.3294,55.26,81,40,5.01
77,Longyearbyen,SJ,2021-07-27 22:07:30,78.2186,15.6401,44.44,87,75,11.5
78,Gangakher,IN,2021-07-27 22:09:42,18.95,76.75,75.11,78,100,12.88
