City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Atuona,PF,77.07,scattered clouds,-9.8,-139.0333,Villa Enata
1,Honiara,SB,83.91,clear sky,-9.4333,159.95,Heritage Park Hotel
3,Kavieng,PG,83.64,light rain,-2.5744,150.7967,Nusa Island Retreat
8,Itarema,BR,78.73,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
9,Puerto Ayora,EC,75.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
13,Alofi,NU,76.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
15,Sao Luis,BR,79.0,moderate rain,-2.5297,-44.3028,Solar das Pedras Hostel
18,Thompson,CA,75.36,scattered clouds,55.7435,-97.8558,Burntwood Hotel
23,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
27,Kapaa,US,86.32,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
32,Punta Cardon,VE,82.9,few clouds,11.6581,-70.215,Bambuda hotel
35,Ponta Do Sol,PT,72.23,few clouds,32.6667,-17.1,Hotel do Campo
36,Hilo,US,82.13,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
40,Lagoa,PT,70.12,clear sky,39.05,-27.9833,Casa Das Faias
42,Baishishan,CN,72.61,overcast clouds,43.5833,127.5667,白林宾馆
44,Mandera,KE,76.86,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
49,Dharchula,IN,72.0,overcast clouds,29.85,80.5333,Mahara Hotel
56,Valera,VE,76.98,broken clouds,9.3178,-70.6036,Hotel Camino Real
57,Kassala,SD,80.82,broken clouds,15.451,36.4,Amassi Hotel Gash
59,Lorengau,PG,83.62,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
63,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
64,The Valley,AI,82.81,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
66,Weligama,LK,78.87,broken clouds,5.9667,80.4167,Weligama Bay Resort
68,Rikitea,PF,71.74,scattered clouds,-23.1203,-134.9692,People ThankYou
69,Yellowknife,CA,70.32,scattered clouds,62.456,-114.3525,The Explorer Hotel
70,Mayo,US,82.98,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
71,Ribeira Grande,PT,70.77,clear sky,38.5167,-28.7,Quinta da Meia Eira
72,Juruti,BR,75.87,broken clouds,-2.1522,-56.0922,Hotel Acauã - ORLA
73,Kieta,PG,83.39,few clouds,-6.2167,155.6333,Uruna Bay Retreat
75,Arima,TT,81.45,broken clouds,10.6333,-61.2833,Refine Home Style Ltd.
78,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
