City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atuona,PF,-9.8,-139.0333,77.07,80,31,14.16,scattered clouds
1,Honiara,SB,-9.4333,159.95,83.91,71,1,5.1,clear sky
2,Agutaya,PH,11.148,120.9417,83.68,78,100,16.11,moderate rain
3,Kavieng,PG,-2.5744,150.7967,83.64,73,44,7.25,light rain
4,Hermanus,ZA,-34.4187,19.2345,53.91,83,11,6.82,few clouds
5,Tuktoyaktuk,CA,69.4541,-133.0374,60.8,88,90,10.36,overcast clouds
6,Port Macquarie,AU,-31.4333,152.9167,49.89,41,0,4.68,clear sky
7,Andenes,NO,69.3143,16.1194,49.98,87,83,23.02,broken clouds
8,Itarema,BR,-2.9248,-39.9167,78.73,84,76,12.62,broken clouds
9,Puerto Ayora,EC,-0.7393,-90.3518,75.16,81,44,9.19,scattered clouds
10,Albany,US,42.6001,-73.9662,70.66,98,100,6.13,overcast clouds
11,Tabora,TZ,-5.0167,32.8,64.18,55,0,0.0,clear sky
12,Ushuaia,AR,-54.8,-68.3,44.26,42,20,19.57,few clouds
13,Alofi,NU,-19.0595,-169.9187,76.89,78,40,16.11,scattered clouds
14,Tilichiki,RU,60.4667,166.1,55.13,47,14,8.61,few clouds
15,Sao Luis,BR,-2.5297,-44.3028,79.0,83,75,5.75,moderate rain
16,Aksarka,RU,66.5606,67.7975,48.27,97,100,19.84,overcast clouds
17,Carnarvon,AU,-24.8667,113.6333,64.47,76,75,11.5,light rain
18,Thompson,CA,55.7435,-97.8558,75.36,35,40,8.05,scattered clouds
19,Mataura,NZ,-46.1927,168.8643,44.47,78,86,4.59,moderate rain
20,East London,ZA,-33.0153,27.9116,58.66,70,3,8.23,clear sky
21,Port Hardy,CA,50.6996,-127.4199,69.98,78,20,10.36,few clouds
22,Hovd,MN,48.0056,91.6419,60.49,50,5,0.4,clear sky
23,Georgetown,MY,5.4112,100.3354,77.9,93,20,5.01,few clouds
24,Bredasdorp,ZA,-34.5322,20.0403,51.12,82,3,6.91,clear sky
25,Santa Maria,BR,-29.6842,-53.8069,42.1,81,0,2.3,clear sky
26,Busselton,AU,-33.65,115.3333,49.08,73,100,26.62,light rain
27,Kapaa,US,22.0752,-159.319,86.32,68,20,3.0,few clouds
28,Kodiak,US,57.79,-152.4072,56.71,67,90,6.91,overcast clouds
29,Bluff,NZ,-46.6,168.3333,44.8,73,94,4.7,overcast clouds
30,Lapy,PL,52.9911,22.8842,68.25,69,20,9.57,few clouds
31,Saldanha,ZA,-33.0117,17.9442,44.65,86,0,5.35,clear sky
32,Punta Cardon,VE,11.6581,-70.215,82.9,73,19,31.74,few clouds
33,Hobart,AU,-42.8794,147.3294,52.27,76,75,4.0,broken clouds
34,Nikolskoye,RU,59.7035,30.7861,64.29,90,14,4.63,few clouds
35,Ponta Do Sol,PT,32.6667,-17.1,72.23,66,15,6.69,few clouds
36,Hilo,US,19.7297,-155.09,82.13,73,75,9.22,broken clouds
37,Mareeba,AU,-17.0,145.4333,69.44,67,39,1.5,scattered clouds
38,Iqaluit,CA,63.7506,-68.5145,51.53,76,40,12.66,scattered clouds
39,Daitari,IN,21.1,85.75,71.08,95,100,13.18,moderate rain
40,Lagoa,PT,39.05,-27.9833,70.12,89,5,9.66,clear sky
41,Mahebourg,MU,-20.4081,57.7,68.29,83,75,21.85,light rain
42,Baishishan,CN,43.5833,127.5667,72.61,95,100,1.83,overcast clouds
43,Usinsk,RU,65.9939,57.5281,42.17,89,32,7.52,scattered clouds
44,Mandera,KE,3.9366,41.867,76.86,57,100,19.33,overcast clouds
45,Santa Cecilia,BR,-26.9608,-50.4269,29.32,84,0,2.8,clear sky
46,Norman Wells,CA,65.282,-126.8329,69.84,60,90,6.91,overcast clouds
47,Mehamn,NO,71.0357,27.8492,43.77,85,100,4.59,overcast clouds
48,Taoudenni,ML,22.6783,-3.9836,98.37,25,49,5.64,scattered clouds
49,Dharchula,IN,29.85,80.5333,72.0,96,98,1.14,overcast clouds
50,Yulara,AU,-25.2406,130.9889,53.44,66,0,5.75,clear sky
51,Ancud,CL,-41.8697,-73.8203,45.93,89,88,8.86,overcast clouds
52,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,49,75,14.97,broken clouds
53,Saint-Philippe,RE,-21.3585,55.7679,67.59,85,89,15.97,light rain
54,Gornopravdinsk,RU,60.05,69.9,44.19,99,88,4.54,moderate rain
55,Verkhnevilyuysk,RU,63.4453,120.3167,62.71,48,23,2.84,few clouds
56,Valera,VE,9.3178,-70.6036,76.98,83,61,3.44,broken clouds
57,Kassala,SD,15.451,36.4,80.82,74,75,14.79,broken clouds
58,Lebu,CL,-37.6167,-73.65,49.64,84,1,6.53,clear sky
59,Lorengau,PG,-2.0226,147.2712,83.62,74,20,3.76,few clouds
60,Namibe,AO,-15.1961,12.1522,64.36,82,18,0.69,few clouds
61,Masvingo,ZW,-20.0637,30.8277,53.47,53,3,4.0,clear sky
62,Esperance,AU,-33.8667,121.9,51.64,72,94,23.47,overcast clouds
63,Vaini,TO,-21.2,-175.2,75.36,78,20,9.22,few clouds
64,The Valley,AI,18.217,-63.0578,82.81,78,75,11.5,broken clouds
65,Mar Del Plata,AR,-38.0023,-57.5575,53.1,71,0,4.61,clear sky
66,Weligama,LK,5.9667,80.4167,78.87,87,63,11.68,broken clouds
67,Clyde River,CA,70.4692,-68.5914,44.83,93,75,13.8,broken clouds
68,Rikitea,PF,-23.1203,-134.9692,71.74,76,34,6.85,scattered clouds
69,Yellowknife,CA,62.456,-114.3525,70.32,49,40,12.66,scattered clouds
70,Mayo,US,38.8876,-76.5119,82.98,87,90,1.01,overcast clouds
71,Ribeira Grande,PT,38.5167,-28.7,70.77,87,5,10.31,clear sky
72,Juruti,BR,-2.1522,-56.0922,75.87,82,67,4.47,broken clouds
73,Kieta,PG,-6.2167,155.6333,83.39,74,20,4.5,few clouds
74,Barrow,US,71.2906,-156.7887,53.62,87,90,8.05,light rain
75,Arima,TT,10.6333,-61.2833,81.45,94,68,3.87,broken clouds
76,Hervey Bay,AU,-25.2986,152.8535,66.04,63,0,14.45,clear sky
77,Punta Arenas,CL,-53.15,-70.9167,39.31,81,0,18.41,clear sky
78,Isangel,VU,-19.55,169.2667,78.91,78,75,5.75,broken clouds
79,Pevek,RU,69.7008,170.3133,32.07,98,100,24.43,snow
80,Severo-Kurilsk,RU,50.6789,156.125,60.37,94,92,4.25,overcast clouds
81,Jamestown,US,42.097,-79.2353,78.39,73,40,13.8,scattered clouds
82,Mancora,PE,-4.1078,-81.0475,73.47,68,78,13.69,broken clouds
83,Mogok,MM,22.9167,96.5,65.73,95,96,3.11,overcast clouds
84,Cape Town,ZA,-33.9258,18.4232,54.12,90,20,1.01,few clouds
